global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 69 3, 44 2, 37 4",69,86,56,39,0.688,0.62,0.6056338028169014,0.6441947565543071
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 47 3, 30 2, 23 4",65,90,43,52,0.6338028169014085,0.62,0.6766917293233082,0.6545454545454545
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 16 2, 10 4",61,98,28,63,0.6086956521739131,0.636,0.7777777777777778,0.6829268292682927
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,73,91,53,33,0.7338709677419355,0.656,0.6319444444444444,0.6791044776119403
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 150 2, 102 4",79,73,74,24,0.7525773195876289,0.608,0.4965986394557823,0.598360655737705
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 222 3, 133 2, 95 4",74,82,54,40,0.6721311475409836,0.624,0.6029411764705882,0.6356589147286822
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 199 3, 117 2, 84 4",83,66,77,24,0.7333333333333333,0.596,0.46153846153846156,0.5665236051502146
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 174 3, 102 2, 74 4",60,86,41,63,0.5771812080536913,0.584,0.6771653543307087,0.6231884057971016
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 148 3, 86 2, 66 4",67,78,55,50,0.609375,0.58,0.5864661654135338,0.5977011494252874
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 122 3, 72 2, 56 4",67,94,39,50,0.6527777777777778,0.644,0.706766917293233,0.6787003610108303
42,Binary,,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 96 3, 59 2, 45 4",74,83,53,40,0.6747967479674797,0.628,0.6102941176470589,0.640926640926641
